1,DATOOUHTADEU,dat"o:u:tadOY,"o:u:,DE
2,ATASÖTTADAU,Qataz"9tadaU,z"9,DE
3,DATASCHAHTADEU,dataZ"a:tadOY,Z"a:,DE
4,ATATAITADEU,Qatat"aItadOY,t"aI,DE
5,DATAFÜHTADEU,da:taf"y:tadOY,f"y:,DE
6,PATÄPFADAU,pat"Epfa:daU,"Epf,DE
9,ATÄOTTADAU,Qat"EOtadaU,"EO,DE
10,ATASÄTTADAU,Qataz"EtadaU,z"E,DE
11,DATAFAHTADEU,da:taf"a:tadOY,f"a:,DE
13,ADOPPADAI,Qad"OpadaI,"Op,DE
15,ATABATTADAU,Qatab"atadaU,b"a,DE
17,ADUH ADAI,Qad"u:QadaI,"u:Q,DE
18,ATTECHAUTADEU,QatEC"aUtadOY,C"aU,DE
19,ATAMÖTTADAU,Qatam"9tadaU,m"9,DE
20,ATAIATTADAU,Qat"aIatadaU,"aIa,DE
21,ATASCHEITADEU,QataZ"aItadOY,Z"aI,DE
23,ATAÖTTADAU,Qat"a9tadaU,"a9,DE
25,ATÖRRADEU,Qat"9RadOY,"9R,DE
26,ATÜÖTTADAU,QatY"9tadaU,Y"9,DE
27,ATTÖEDADEU,Qat"9@da:daU,"9@,DE
28,DATTERUHTADEU,dat6"u:tadOY,6"u:,DE
30,DATACHUHTADEU,da:tax"u:tadOY,x"u:,DE
31,ATANATTADAU,Qatan"atadaU,n"a,DE
32,PATEUPFADAU,pat"OYpfa:daU,"OYpf,DE
33,DATAFIEHTADEU,da:taf"i:tadOY,f"i:,DE
35,DATATZIEHTADEU,datats"i:tadOY,ts"i:,DE
36,ATASATTADAU,Qatas"atadaU,s"a,DE
37,PATAUKADAU,pat"aUkadaU,"aUk,DE
38,ATAMÄTTADAU,Qatam"EtadaU,m"E,DE
40,ADAHSADAI,Qad"a:sadaI,"a:s,DE
42,DATAUÄHTADEU,da:t"aUE:tadOY,"aUE:,DE
44,DATADEHTADEU,da:tad"e:tadOY,d"e:,DE
45,ATAPÄTTADAU,Qatap"EtadaU,p"E,DE
46,PATÜCKADAU,pat"YkadaU,"Yk,DE
49,ATUITTADAU,Qatu:"ItadaU,u:"I,DE
51,ADAUBADAI,Qad"aUba:daI,"aUb,DE
52,ADÄHPADAI,Qad"E:padaI,"E:p,DE
53,ADÖWWADAI,Qad"9vadaI,"9v,DE
54,ADEUSCHADAI,Qad"OYSa:daI,"OYS,DE
56,ADEETADEI,Qad"e:tadaI,"e:t,DE
58,ATUATTADAU,Qatu:"atadaU,u:"a,DE
61,DATEUÖHTADEU,da:t"OY2:tadOY,"OY2:,DE
62,ATUÄTTADAU,Qatu:"EtadaU,u:"E,DE
63,ATACHATTADAU,Qatax"atadaU,x"a,DE
64,ATEECHADEU,Qa:t"e:CadOY,"e:C,DE
65,DATASCHUHTADEU,dataZ"u:tadOY,Z"u:,DE
67,ADAIWADEU,Qad"aIva:daU,"aIv,DE
69,ATADITTADAU,Qatad"ItadaU,d"I,DE
70,ADACHADAI,Qad"axadaI,"ax,DE
71,DATUÄHTADEU,datu:"E:tadOY,u:"E:,DE
78,ATAIEDADEU,Qat"aI@da:daU,"aI@,DE
79,ATAJADEU,Qat"aja:daU,"aj,DE
81,ATAGUTTADAU,Qata:g"UtadaU,g"U,DE
82,DATATOHTADEU,datat"o:tadOY,t"o:,DE
83,ATIMMADEU,Qat"Ima:daU,"Im,DE
84,ATAITTADAU,Qat"aItadaU,"aI,DE
85,ADAISCHADEU,Qad"aIZadOY,"aIZ,DE
86,ATAPFÖTTADAU,Qatapf"9tadaU,pf"9,DE
89,ADÖH ADAI,Qad"2:QadaI,"2:Q,DE
